Year.AD, Flowering.DOY, Flowering.MMDD
801,NA,NA
802,NA,NA
803,NA,NA
804,NA,NA
805,NA,NA
806,NA,NA
807,NA,NA
808,NA,NA
809,NA,NA
810,NA,NA
811,NA,NA
812,92,0401
813,NA,NA
814,NA,NA
815,105,0415
816,NA,NA
817,NA,NA
818,NA,NA
819,NA,NA
820,NA,NA
821,NA,NA
822,NA,NA
823,NA,NA
824,NA,NA
825,NA,NA
826,NA,NA
827,NA,NA
828,NA,NA
829,NA,NA
830,NA,NA
831,96,0406
832,NA,NA
833,NA,NA
834,NA,NA
835,NA,NA
836,NA,NA
837,NA,NA
838,NA,NA
839,NA,NA
840,NA,NA
841,NA,NA
842,NA,NA
843,NA,NA
844,NA,NA
845,NA,NA
846,NA,NA
847,NA,NA
848,NA,NA
849,NA,NA
850,NA,NA
851,108,0418
852,NA,NA
853,104,0414
854,NA,NA
855,NA,NA
856,NA,NA
857,NA,NA
858,NA,NA
859,NA,NA
860,NA,NA
861,NA,NA
862,NA,NA
863,NA,NA
864,100,0409
865,NA,NA
866,106,0416
867,NA,NA
868,NA,NA
869,95,0405
870,NA,NA
871,NA,NA
872,NA,NA
873,NA,NA
874,NA,NA
875,NA,NA
876,NA,NA
877,NA,NA
878,NA,NA
879,NA,NA
880,NA,NA
881,NA,NA
882,NA,NA
883,NA,NA
884,NA,NA
885,NA,NA
886,NA,NA
887,NA,NA
888,NA,NA
889,104,0414
890,NA,NA
891,109,0419
892,108,0417
893,NA,NA
894,106,0416
895,104,0414
896,104,0413
897,NA,NA
898,NA,NA
899,NA,NA
900,NA,NA
901,NA,NA
902,102,0412
903,NA,NA
904,NA,NA
905,NA,NA
906,NA,NA
907,NA,NA
908,98,0407
909,NA,NA
910,NA,NA
911,NA,NA
912,95,0404
913,110,0420
914,NA,NA
915,NA,NA
916,NA,NA
917,95,0405
918,NA,NA
919,NA,NA
920,NA,NA
921,NA,NA
922,NA,NA
923,104,0414
924,NA,NA
925,NA,NA
926,98,0408
927,NA,NA
928,NA,NA
929,NA,NA
930,97,0407
931,NA,NA
932,NA,NA
933,106,0416
934,NA,NA
935,NA,NA
936,NA,NA
937,NA,NA
938,NA,NA
939,NA,NA
940,NA,NA
941,109,0419
942,NA,NA
943,NA,NA
944,NA,NA
945,NA,NA
946,NA,NA
947,NA,NA
948,NA,NA
949,107,0417
950,95,0405
951,NA,NA
952,NA,NA
953,NA,NA
954,NA,NA
955,89,330
956,NA,NA
957,112,0422
958,109,0419
959,97,0407
960,101,0410
961,87,328
962,NA,NA
963,94,0404
964,NA,NA
965,104,0414
966,98,0408
967,103,0413
968,NA,NA
969,98,0408
970,NA,NA
971,NA,NA
972,107,0416
973,NA,NA
974,108,0418
975,101,0411
976,NA,NA
977,112,0422
978,NA,NA
979,104,0414
980,NA,NA
981,NA,NA
982,NA,NA
983,NA,NA
984,NA,NA
985,94,0404
986,NA,NA
987,NA,NA
988,NA,NA
989,100,0410
990,NA,NA
991,104,0414
992,NA,NA
993,NA,NA
994,NA,NA
995,NA,NA
996,NA,NA
997,NA,NA
998,NA,NA
999,NA,NA
1000,105,0415
1001,NA,NA
1002,NA,NA
1003,NA,NA
1004,117,0426
1005,NA,NA
1006,100,0410
1007,106,0416
1008,NA,NA
1009,NA,NA
1010,NA,NA
1011,NA,NA
1012,NA,NA
1013,NA,NA
1014,115,0425
1015,NA,NA
1016,111,0420
